1.192.0.0 1.199.255.255 1
1.202.0.0 1.203.255.255 1
1.204.0.0 1.207.255.255 1
14.0.0.0 14.0.7.255 1
14.0.12.0 14.0.15.255 1
14.1.0.0 14.1.3.255 1
14.16.0.0 14.31.255.255 1
14.102.128.0 14.102.131.255 1
14.102.156.0 14.102.159.255 6
14.103.0.0 14.103.255.255 6
14.104.0.0 14.111.255.255 1
14.112.0.0 14.127.255.255 1
14.130.0.0 14.131.255.255 6
14.134.0.0 14.135.255.255 1
14.144.0.0 14.159.255.255 1
14.192.60.0 14.192.63.255 6
14.192.76.0 14.192.79.255 1
14.196.0.0 14.197.255.255 6
14.204.0.0 14.205.255.255 2
14.208.0.0 14.223.255.255 1
27.8.0.0 27.15.255.255 2
27.16.0.0 27.31.255.255 1
27.34.232.0 27.34.239.255 1
27.36.0.0 27.39.255.255 2
27.40.0.0 27.47.255.255 2
27.50.40.0 27.50.47.255 1
27.50.128.0 27.50.255.255 2
27.54.72.0 27.54.79.255 1
27.54.152.0 27.54.159.255 1
27.54.192.0 27.54.255.255 2
27.98.208.0 27.98.223.255 6
27.98.224.0 27.98.255.255 2
27.99.128.0 27.99.255.255 6
27.103.0.0 27.103.255.255 6
27.106.128.0 27.106.191.255 2
27.106.204.0 27.106.207.255 6
27.109.32.0 27.109.63.255 6
27.112.0.0 27.112.63.255 2
27.112.80.0 27.112.95.255 6
27.113.128.0 27.113.191.255 6
27.115.0.0 27.115.127.255 2
27.116.44.0 27.116.47.255 6
27.121.72.0 27.121.79.255 1
27.121.120.0 27.121.127.255 1
27.128.0.0 27.129.255.255 1
27.131.220.0 27.131.223.255 6
27.144.0.0 27.144.255.255 6
27.148.0.0 27.151.255.255 1
27.152.0.0 27.159.255.255 1
27.184.0.0 27.191.255.255 1
27.192.0.0 27.223.255.255 2
27.224.0.0 27.227.255.255 1
36.0.0.0 36.0.3.255 1
36.0.8.0 36.0.15.255 6
36.0.16.0 36.0.31.255 1
36.0.32.0 36.0.63.255 1
36.0.64.0 36.0.127.255 6
36.0.128.0 36.0.255.255 6
36.1.0.0 36.1.255.255 1
36.4.0.0 36.7.255.255 1
36.16.0.0 36.31.255.255 1
36.32.0.0 36.35.255.255 2
36.36.0.0 36.36.255.255 6
36.37.0.0 36.37.31.255 1
36.37.36.0 36.37.37.255 1
36.37.39.0 36.37.39.255 1
36.37.40.0 36.37.47.255 1
36.37.48.0 36.37.63.255 1
36.40.0.0 36.47.255.255 1
36.48.0.0 36.49.255.255 1
36.51.0.0 36.51.255.255 6
36.56.0.0 36.63.255.255 1
36.96.0.0 36.127.255.255 1
36.128.0.0 36.191.255.255 3
36.192.0.0 36.223.255.255 4
36.248.0.0 36.251.255.255 2
36.254.0.0 36.254.255.255 6
39.0.0.0 39.0.0.255 1
39.0.2.0 39.0.3.255 1
39.0.4.0 39.0.7.255 1
39.0.8.0 39.0.15.255 1
39.0.16.0 39.0.31.255 1
